,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Maiduguri,11.85,13.16,92.88,26,0,1.12,NG,1591037329
375,Taoudenni,22.68,-3.98,101.8,17,98,11.27,ML,1591037329
376,Lompoc,34.64,-120.46,64.4,72,1,13.87,US,1591037329
377,Ouallam,14.32,2.09,101.75,22,27,11.01,NE,1591037329
378,Pozo Colorado,-23.49,-58.8,56.86,58,100,6.78,PY,1591037329
379,Nova Odesa,47.31,31.79,49.87,89,7,7.45,UA,1591037329
380,Pontianak,-0.03,109.33,74.43,96,100,5.28,ID,1591037330
381,Ugoofaaru,5.67,73.0,83.08,78,100,17.78,MV,1591037330
382,Clyde River,70.47,-68.59,32.0,91,20,4.7,CA,1591037330
383,Copperas Cove,31.12,-97.9,84.2,61,75,9.17,US,1591037330
384,Lata,40.16,-8.33,75.0,80,96,1.01,PT,1591037330
385,Huaicheng,23.91,112.19,75.96,94,100,2.19,CN,1591037330
386,Lüderitz,-26.65,15.16,69.01,32,0,1.63,NA,1591037330
387,Tuatapere,-46.13,167.68,48.52,81,100,7.31,NZ,1591037330
388,Flagstaff,35.2,-111.65,82.0,25,1,19.46,US,1591037246
389,Presidencia Roque Sáenz Peña,-26.79,-60.44,53.01,51,100,4.14,AR,1591037331
390,Itarema,-2.92,-39.92,82.49,79,100,12.03,BR,1591037331
391,Vila do Maio,15.13,-23.22,80.6,54,20,17.22,CV,1591037331
392,Rapid Valley,44.06,-103.15,80.01,47,1,11.41,US,1591037331
393,Visby,57.64,18.3,64.0,71,0,3.36,SE,1591037331
394,Şuraabad,40.82,49.47,69.8,56,0,13.87,AZ,1591037332
395,Marzuq,14.4,46.47,84.54,30,48,13.18,YE,1591037332
396,Oranjestad,12.52,-70.03,87.8,66,40,19.46,AW,1591037178
397,Barra do Garças,-15.89,-52.26,81.7,45,100,2.42,BR,1591037332
398,Diego de Almagro,-26.37,-70.05,71.74,28,0,10.36,CL,1591037332
399,Egvekinot,66.32,-179.17,43.61,60,0,3.87,RU,1591037332
400,Chalinze,-6.64,38.35,70.47,85,47,1.72,TZ,1591037332
401,Taunggyi,20.78,97.03,63.27,100,14,3.31,MM,1591037333
402,Vila Franca do Campo,37.72,-25.43,64.4,63,40,17.22,PT,1591037333
403,Mendeleyevo,56.03,37.22,50.0,87,43,11.18,RU,1591037333
404,Khor,47.89,134.95,56.86,97,100,5.21,RU,1591037333
405,Bosaso,11.28,49.18,95.29,43,96,22.01,SO,1591037333
406,Zolotukhino,52.08,36.38,54.0,93,75,6.71,RU,1591037333
407,Ryazanovskiy,55.55,39.43,46.81,87,49,8.28,RU,1591037333
408,Husavik,66.04,-17.34,53.6,50,75,13.87,IS,1591037333
409,Khorol,49.78,33.28,48.63,93,100,8.43,UA,1591037334
410,Mount Gambier,-37.83,140.77,46.4,100,75,8.05,AU,1591037334
411,Sokoto,13.06,5.24,96.03,32,48,6.08,NG,1591037334
412,Phuket,8.0,98.25,80.6,88,40,1.12,TH,1591037334
413,Santa Rosa,14.31,121.11,84.2,74,20,4.7,PH,1591037334
414,Grindavik,63.84,-22.43,50.0,76,90,12.75,IS,1591037334
415,Marsá Maţrūḩ,31.35,27.25,69.8,77,40,13.87,EG,1591037334
416,Sucre,-19.03,-65.26,62.15,46,76,9.53,BO,1591037334
417,Goiás,-15.58,-49.64,78.12,48,55,2.73,BR,1591037334
418,Naze,28.37,129.48,68.5,86,100,3.13,JP,1591037334
419,Palakkad,10.78,76.65,79.02,78,100,6.62,IN,1591037097
420,Lagoa Vermelha,-28.21,-51.53,54.91,74,100,5.32,BR,1591037323
421,Jalu,29.03,21.55,79.79,24,21,13.15,LY,1591037335
422,Beaupré,47.04,-70.9,55.99,52,100,3.0,CA,1591037335
423,Mayo,38.89,-76.51,73.0,37,20,6.93,US,1591037335
424,Ponnāni,10.77,75.93,78.8,83,75,4.7,IN,1591037335
425,Fairbanks,64.84,-147.72,63.0,59,75,3.38,US,1591037109
426,Bondo,3.81,23.69,70.83,97,34,5.12,CD,1591037335
427,Son La,21.32,103.9,69.93,92,92,1.25,VN,1591037335
428,Shibganj,24.68,88.16,86.99,62,100,2.95,BD,1591037335
429,Breytovo,58.3,37.86,48.88,71,7,12.3,RU,1591037335
430,Beloha,-25.17,45.05,63.72,78,0,11.63,MG,1591037336
431,Gogrial,8.53,28.1,84.04,54,50,9.46,SS,1591037336
432,Dunedin,-45.87,170.5,46.0,76,0,1.99,NZ,1591037336
433,Yambio,4.57,28.4,71.47,90,99,2.8,SS,1591037336
434,Keïta,14.76,5.77,104.0,21,3,9.17,NE,1591037336
435,Bar Harbor,44.39,-68.2,57.99,32,90,10.29,US,1591037270
436,Amboasary,-25.03,46.38,66.2,88,40,6.93,MG,1591037336
437,Patea,-39.76,174.48,55.99,97,100,3.0,NZ,1591037336
438,Polovinnoye,54.79,65.99,54.61,90,7,4.94,RU,1591037336
439,Lascahobas,18.83,-71.94,95.0,36,40,2.24,HT,1591037337
440,Cassilândia,-19.11,-51.73,78.82,50,66,3.51,BR,1591037337
441,Boulder,40.08,-105.35,90.0,25,1,3.36,US,1591037337
442,Key West,24.56,-81.78,89.6,66,40,10.29,US,1591037164
443,Lorengau,-2.02,147.27,81.09,73,5,2.21,PG,1591037337
444,Kurud,20.83,81.72,86.0,62,75,6.93,IN,1591037337
445,Ust-Kuyga,70.02,135.6,46.27,55,0,0.83,RU,1591037337
446,Hue,16.47,107.6,80.6,83,40,2.24,VN,1591037337
447,Constantine,36.37,6.61,73.4,43,40,11.41,DZ,1591037337
448,Qandala,11.47,49.87,91.63,56,100,5.26,SO,1591037337
449,Bandarbeyla,9.49,50.81,84.24,69,77,24.83,SO,1591037338
450,Mayumba,-3.43,10.66,76.39,91,93,5.06,GA,1591037338
451,Dali,25.7,100.18,60.01,85,95,5.1,CN,1591037338
452,Roberval,48.52,-72.23,48.2,50,75,4.7,CA,1591037338
453,Kumul,42.8,93.45,77.79,16,0,11.34,CN,1591037338
454,Tiznit Province,29.58,-9.5,71.73,56,0,7.4,MA,1591037338
455,Bukama,-9.2,25.85,74.19,48,25,2.19,CD,1591037338
456,Freeport,40.66,-73.58,68.0,34,40,16.11,US,1591037110
457,Assiut,27.18,31.18,89.6,27,0,6.93,EG,1591037338
458,Tilichiki,60.47,166.1,37.71,95,100,3.0,RU,1591037339
459,Cortez,37.35,-108.59,82.4,28,1,6.93,US,1591037182
460,Krasnoarmeysk,51.02,45.7,58.42,88,100,13.8,RU,1591037339
461,Brazzaville,-4.27,15.28,78.8,88,20,2.24,CG,1591037339
462,Kamień Pomorski,53.97,14.77,64.99,42,0,6.93,PL,1591037339
463,Finnsnes,69.23,17.98,64.4,42,49,3.36,NO,1591037130
464,Santa Maria,-29.68,-53.81,57.2,58,20,5.82,BR,1591037081
465,Estelle,29.85,-90.11,87.01,62,75,8.05,US,1591037339
466,Bănişor,47.12,22.85,57.2,76,0,4.7,RO,1591037339
467,Broken Hill,-31.95,141.43,41.0,86,0,5.82,AU,1591037340
468,Kavieng,-2.57,150.8,81.75,77,20,4.21,PG,1591037340
469,Kenai,60.55,-151.26,57.2,50,1,10.29,US,1591037335
470,Changde,29.05,111.68,73.08,88,100,1.14,CN,1591037340
471,Srednekolymsk,67.45,153.68,44.78,62,100,12.95,RU,1591037340
472,Pisco,-13.7,-76.22,71.01,77,27,10.29,PE,1591037340
473,Sørland,67.67,12.69,51.8,87,20,10.29,NO,1591037340
474,Honningsvåg,70.98,25.97,51.69,70,95,14.58,NO,1591037340
475,Mergen,49.18,125.22,47.98,85,100,6.46,CN,1591037341
476,Redlands,34.06,-117.18,82.99,28,75,6.8,US,1591037341
477,Hopelchén,19.77,-89.85,77.0,94,90,6.93,MX,1591037341
478,Blackwater,-23.58,148.88,60.26,46,40,12.62,AU,1591037341
479,San Sebastián Tenango,18.65,-98.18,81.0,36,40,10.29,MX,1591037341
480,Roura,4.73,-52.33,86.0,62,75,12.75,GF,1591037341
481,Katobu,-4.94,122.53,75.78,93,100,4.07,ID,1591037341
482,Hofn,64.25,-15.21,48.99,67,100,9.55,IS,1591037342
483,Río Gallegos,-51.62,-69.22,55.4,54,20,16.11,AR,1591037342
484,Behbahān,30.6,50.24,91.4,18,0,6.51,IR,1591037342
485,Hof,50.32,11.92,64.99,41,0,1.01,DE,1591037342
486,Kissamos,35.49,23.66,66.99,82,20,14.99,GR,1591037342
487,Aquiraz,-3.9,-38.39,86.0,66,20,12.75,BR,1591037081
488,Kendari,-3.94,122.5,74.68,93,100,3.51,ID,1591037342
489,Kuznechikha,57.22,42.33,44.98,79,33,8.28,RU,1591037342
490,Kahului,20.89,-156.47,82.4,65,40,11.41,US,1591037342
491,Saldanha,-33.01,17.94,59.0,77,40,2.24,ZA,1591037343
492,Sarangani,5.4,125.46,83.89,75,100,7.31,PH,1591037343
493,Djebeniana,35.03,10.91,71.6,60,40,11.41,TN,1591037343
494,Loikaw,19.67,97.21,68.97,89,100,2.35,MM,1591037343
495,Gamba,-2.65,10.0,75.69,92,100,5.17,GA,1591037343
496,Bubaque,11.28,-15.83,78.84,79,100,5.77,GW,1591037343
497,Sistranda,63.73,8.83,57.2,71,98,9.17,NO,1591037343
498,Grand Gaube,-20.01,57.66,73.0,77,24,7.0,MU,1591037343
499,Tautira,-17.73,-149.15,82.4,65,75,8.05,PF,1591037343
500,Barreirinhas,-2.75,-42.83,82.87,79,100,9.24,BR,1591037344
501,La Ronge,55.1,-105.28,69.8,46,75,21.92,CA,1591037344
502,Arsk,56.09,49.88,46.4,87,91,6.71,RU,1591037344
503,Timmins,48.47,-81.33,68.0,26,40,11.41,CA,1591037344
504,Araruama,-22.87,-42.34,86.0,40,0,4.54,BR,1591037344
505,Lokoja,7.8,6.74,82.92,72,34,2.19,NG,1591037344
506,College,64.86,-147.8,63.0,59,75,3.47,US,1591037344
507,Vanderhoof,54.02,-124.02,59.72,34,0,7.72,CA,1591037344
508,Baykit,61.67,96.37,44.51,88,33,3.76,RU,1591037344
509,Machico,32.7,-16.77,69.8,73,40,20.8,PT,1591037345
510,San Vicente,-26.62,-54.13,51.37,76,100,4.52,AR,1591037345
511,Kodinsk,58.69,99.18,48.67,74,99,7.43,RU,1591037345
512,Sassandra,4.95,-6.08,79.0,83,93,6.49,CI,1591037345
513,Paita,-5.09,-81.11,86.0,51,38,16.11,PE,1591037345
514,Boshnyakovo,49.63,142.17,49.87,87,0,4.05,RU,1591037345
515,Illapel,-31.63,-71.17,69.19,42,0,7.18,CL,1591037345
516,Verāval,20.9,70.37,83.44,83,0,7.54,IN,1591037345
517,Tokur,53.13,132.9,40.17,97,58,4.83,RU,1591037345
518,Narrabri,-30.32,149.78,42.01,76,0,4.68,AU,1591037346
519,Kenora,49.82,-94.43,68.0,68,75,12.75,CA,1591037346
520,Morant Bay,17.88,-76.41,87.8,62,20,24.16,JM,1591037346
521,Sioux Lookout,50.1,-91.92,68.0,60,90,10.29,CA,1591037346
522,Okha,53.57,142.95,36.52,94,100,13.69,RU,1591037346
523,Causapscal,48.35,-67.23,54.77,38,1,8.66,CA,1591037346
524,Arraias,-12.93,-46.94,80.83,43,20,3.11,BR,1591037346
525,Chara,56.91,118.26,42.66,73,28,1.12,RU,1591037347
526,Padang,-0.95,100.35,80.42,76,100,2.3,ID,1591037206
527,Ifo,6.81,3.2,79.66,78,36,5.68,NG,1591037347
528,Wawa,9.9,4.42,87.46,55,100,5.75,NG,1591037347
529,Saint-Joseph,-21.37,55.62,71.6,78,50,11.41,RE,1591037347
530,Gambēla,8.25,34.58,76.89,73,97,3.49,ET,1591037347
531,Chino,34.01,-117.69,84.0,34,40,7.9,US,1591037253
532,Port Moresby,-9.44,147.18,75.2,94,40,6.93,PG,1591037347
533,Belyy Yar,53.6,91.39,50.0,81,100,2.46,RU,1591037347
534,Sonkovo,57.78,37.16,45.64,74,0,10.71,RU,1591037347
535,George Town,5.41,100.34,82.4,88,20,6.71,MY,1591037308
536,Øksfjord,70.24,22.35,62.6,62,0,3.36,NO,1591037348
537,Alice Springs,-23.7,133.88,42.8,60,4,1.12,AU,1591037348
538,Porto-Novo,6.5,2.6,78.8,83,20,4.7,BJ,1591037249
539,Den Helder,52.96,4.76,66.0,72,90,19.46,NL,1591037078
540,Mokhsogollokh,61.47,128.92,41.92,66,0,2.04,RU,1591037348
541,Whyalla,-33.03,137.58,54.52,73,62,10.74,AU,1591037348
542,Imbituba,-28.24,-48.67,60.8,72,75,10.29,BR,1591037348
543,Juneau,58.3,-134.42,48.0,87,90,21.92,US,1591037114
544,Bereda,43.27,-7.54,68.0,82,100,8.01,ES,1591037349
545,Dhārchula,29.85,80.53,63.03,56,48,3.6,IN,1591037349
546,Vao,-22.67,167.48,74.05,88,29,14.29,NC,1591037349
547,Ketchikan,55.34,-131.65,51.8,87,90,18.34,US,1591037061
548,Bahía Honda,22.9,-83.16,85.33,70,100,8.01,CU,1591037349
549,Fort Nelson,58.81,-122.7,60.8,44,40,4.7,CA,1591037151
550,Jaciara,-15.97,-54.97,83.8,46,81,2.1,BR,1591037349
551,High Prairie,55.43,-116.49,60.28,47,100,14.25,CA,1591037349
552,Mahon,39.89,4.27,71.6,68,0,8.05,ES,1591037349
553,Praia,14.92,-23.51,80.6,54,20,17.22,CV,1591037350
554,Santiago del Estero,-27.8,-64.26,62.94,30,0,6.82,AR,1591037350
555,Mathbaria,22.29,89.96,83.16,83,95,12.59,BD,1591037350
556,Obzor,42.82,27.88,66.2,72,13,5.82,BG,1591037350
557,Gwembe,-16.5,27.61,56.41,65,0,2.06,ZM,1591037350
558,Bathsheba,13.22,-59.52,86.0,58,20,13.87,BB,1591037350
559,Ixtapa,20.7,-105.2,82.99,65,5,10.29,MX,1591037138
560,Vadsø,70.07,29.75,62.6,62,100,3.36,NO,1591037350
561,Ijuí,-28.39,-53.91,53.6,71,40,5.82,BR,1591037350
562,Adré,13.47,22.2,87.31,13,40,11.14,TD,1591037350
563,Krivodol,43.37,23.48,55.58,80,0,5.17,BG,1591037351
564,Inuvik,68.35,-133.72,35.6,74,40,9.17,CA,1591037351
565,Lat Yao,15.75,99.79,81.12,76,40,5.59,TH,1591037351
566,Catherinas Lust,6.4,-57.6,82.87,66,96,10.54,GY,1591037351
